ad_unit,advertising_id,advertising_id_type,user_id,segment,placement,ad_network,AB_Testing,impressions,revenue,appKey,date,import_time
rewarded_video,fd32b92f-2a2a-49f8-99e0-184c9e0535a7,gaid,,,defaultrewardedvideo,admob,A,1,0.000822,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,2874dba6-46e7-4506-9a17-09b83c4aefd6,gaid,,,defaultrewardedvideo,admob,A,1,0.003773,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,cf7d4792-72f8-4564-97b2-7519af171b3a,gaid,,,defaultrewardedvideo,admob,A,1,0.001532,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,5479ebf6-d68e-4f67-a3c1-dbbca7373431,gaid,,,defaultrewardedvideo,facebook,A,2,0.0,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,18420384-1ad0-4265-892b-a8ac14d497a1,gaid,,,defaultrewardedvideo,facebook,A,8,0.07784,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,88d178fc-1ecc-4111-923d-697c4ec2daed,gaid,,,defaultrewardedvideo,facebook,A,1,0.00973,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,5163bb7d-95be-42e1-94b4-b046ffdfe0bc,gaid,,,defaultrewardedvideo,facebook,A,3,0.02919,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,993917bb-11e8-4154-a457-f7b6429bc183,gaid,,,defaultrewardedvideo,facebook,A,1,0.00973,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,9be49b37-c928-43ea-9583-a5981fc70d0c,gaid,,,defaultrewardedvideo,facebook,A,4,0.03892,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,0bb517f1-93c9-4c27-b7bc-297ef60be87a,gaid,,,defaultrewardedvideo,facebook,A,1,0.00973,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,7599b4a5-2a7a-4ec5-9af5-1eccef11e969,gaid,,,defaultrewardedvideo,facebook,A,3,0.02919,19b574ff5,2023-12-20,2023-12-29 17:44:21
rewarded_video,5e3ea169-a0c0-4566-a5fc-5ec1656c9a68,gaid,,,defaultrewardedvideo,facebook,A,1,0.00973,19b574ff5,2023-12-20,2023-12-29 17:44:21
